SN,NAME,WINE,YR,REG,TP,RT,NUMR,PR,BD,ACD, RSG , AL , DN 
W3428-53710,Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013,Cava,Cava,4.28,49,53.7,2,3, 8.4731 , 11.2063 , 0.9958 
W9252-58792,Albamar,Alma de Mar Albarino,2019,Rias Baixas,Albarino,4.09,49,27.5,3,3, 9.7107 , 11.8134 , 0.9950 
W6235-92285,Albet i Noya,Marti Reserva Penedes,2015,Penedes,Red,4.16,49,35.15,4,3, 9.1312 , 11.0806 , 0.9962 
W3850-91648,Albet i Noya,Marti Reserva Penedes,2016,Penedes,Red,4.15,39,33.8,4,3, 9.1614 , 10.9751 , 0.9960 
W4266-43277,Algueira,Anadelia,2015,Ribeira Sacra,NA,4.19,31,38.5,NA,NA, 8.9760 , 11.9172 , 0.9953 
W4050-66134,Alion,Ribera del Duero,1995,Ribera del Duero,Ribera Del Duero Red,4.45,226,193,5,3, 6.9213 , 11.3157 , 0.9965 
W2438-61688,Alion,Ribera del Duero,1996,Ribera del Duero,Ribera Del Duero Red,4.39,259,141,5,3, 7.1562 , 11.4535 , 0.9954 
W4168-35655,Alion,Ribera del Duero,2000,Ribera del Duero,Ribera Del Duero Red,4.35,456,98,5,3, 7.3624 , 11.2550 , 0.9961 
W5457-42982,Alion,Ribera del Duero,2001,Ribera del Duero,Ribera Del Duero Red,4.44,681,190,5,3, 6.9311 , 11.7597 , 0.9959 
W9928-76976,Alion,Ribera del Duero,2003,Ribera del Duero,Ribera Del Duero Red,4.42,1236,164,5,3, 7.0471 , 11.5313 , 0.9960 
W3086-89980,Alion,Ribera del Duero,2004,Ribera del Duero,Ribera Del Duero Red,4.39,1121,140.8408663,5,3, 7.1566 , 11.8653 , 0.9961 
W5901-55185,Alion,Ribera del Duero,2005,Ribera del Duero,Ribera Del Duero Red,4.42,1166,169,5,3, 7.0147 , 12.4875 , 0.9943 
W5611-34232,Alion,Ribera del Duero,2006,Ribera del Duero,Ribera Del Duero Red,4.37,1514,119.7,5,3, 7.2522 , 11.8566 , 0.9956 
W9909-15329,Alion,Ribera del Duero,2007,Ribera del Duero,Ribera Del Duero Red,4.34,2053,96,5,3, 7.3673 , 11.4968 , 0.9956 
W9645-75982,Alion,Ribera del Duero,2009,Ribera del Duero,Ribera Del Duero Red,4.44,6395,189,NA,NA, 6.9440 , 11.0272 , 0.9963 
W2581-28747,Alion,Ribera del Duero,2013,Ribera del Duero,Ribera Del Duero Red,4.32,7435,73,5,3, 7.9733 , 11.9845 , 0.9960 
W8524-80262,Alion,Ribera del Duero,2014,Ribera del Duero,Ribera Del Duero Red,4.29,7237,56.27,5,3, 8.4395 , 12.0428 , 0.9942 
W8157-54592,Alion,Ribera del Duero,2015,Ribera del Duero,Ribera Del Duero Red,4.32,5365,75,5,3, 7.8172 , 11.8117 , 0.9954 
W7353-26571,Alion,Ribera del Duero,2016,Ribera del Duero,Ribera Del Duero Red,4.33,4516,79.8,5,3, 7.5412 , 11.9192 , 0.9960 
W3033-48950,Alion,Ribera del Duero,2017,Ribera del Duero,Ribera Del Duero Red,4.33,2208,79.9,5,3, 7.5410 , 11.8292 , 0.9950 
W8155-98469,Alion,Ribera del Duero,2018,Ribera del Duero,Ribera Del Duero Red,4.32,128,78.38,5,3, 7.5545 , 11.2112 , 0.9965 
W1528-40690,Allende,Aurus,1998,Rioja,Rioja Red,4.5,37,245.25,4,3, 6.7154 , 11.2923 , 0.9959 
W8539-11154,Allende,Aurus,2001,Rioja,Rioja Red,4.39,53,140,4,3, 7.1584 , NA , 0.9966 
W8734-90844,Allende,Aurus,2004,Rioja,Rioja Red,4.4,94,148.65,4,3, 7.1185 , 11.7637 , NA 
W2287-19004,Allende,Aurus,2005,Rioja,Rioja Red,4.39,95,136,4,3, 7.1767 , 12.0646 , 0.9959 
W5011-43496,Allende,Aurus,2011,Rioja,Rioja Red,4.47,29,211.92,4,3, 6.8041 , 11.7727 , 0.9959 
W9229-27329,Allende,Calvario Rioja,2002,Rioja,Rioja Red,4.34,61,95,4,3, 7.3860 , NA , 0.9952 
W5371-85491,Allende,Calvario Rioja,2004,Rioja,Rioja Red,4.34,150,90,NA,NA, 7.4266 , 11.5230 , 0.9965 
W2325-61523,Allende,Calvario Rioja,2006,Rioja,Rioja Red,4.28,279,53.35,NA,NA, 8.4757 , 11.0822 , 0.9968 
W2220-77041,Allende,Calvario Rioja,2008,Rioja,Rioja Red,4.33,195,87.3,4,3, 7.4650 , 11.6810 , 0.9956 
W5034-15079,Allende,Calvario Rioja,2009,Rioja,Rioja Red,4.38,194,125.97,4,3, 7.2123 , 12.0289 , 0.9951 
W9851-27763,Allende,Calvario Rioja,2010,Rioja,Rioja Red,4.38,92,125.97,4,3, NA , 11.6145 , 0.9954 
W9690-54077,Allende,Gaminde,2016,Rioja,Rioja Red,4.22,62,43.8,4,3, 8.9229 , 10.8861 , 0.9967 
W1257-38327,Allende,Martires Rioja,2015,Rioja,Rioja White,4.34,50,91.5,3,3, 7.4115 , 10.6823 , 0.9972 
W3121-56797,Allende,Martires Rioja,2017,Rioja,Rioja White,4.39,33,139.63,3,3, 7.1695 , 11.5971 , 0.9966 
W5191-45465,Alonso & Pedrajo,Suane Blanco,2017,Rioja,Rioja White,4.06,32,23.9,3,3, 9.9843 , 11.4405 , 0.9956 
W1355-22158,Alonso del Yerro,Maria Ribera del Duero,2015,Ribera del Duero,Ribera Del Duero Red,4.28,75,54.9,5,3, 8.4600 , 11.7840 , 0.9968 
W7299-86943,Alonso del Yerro,Maria Ribera del Duero,2016,Ribera del Duero,Ribera Del Duero Red,4.28,78,53.9,5,3, 8.4714 , 11.7897 , 0.9947 
W4136-42477,Alta Alella,Blanc de Neu,2016,Alella,Sparkling,4,45,16.99,2,3, 10.9374 , 11.8470 , 0.9954 
W2927-90673,Alta Alella,Dolc Mataro,2017,Alella,NA,4,92,16.5,NA,NA, 11.3798 , 11.3482 , 0.9962 
W3165-32354,Alta Alella,Dolc Mataro,2018,Alella,NA,4.01,72,17.95,NA,NA, 10.5849 , 10.6955 , 0.9965 
W9547-95316,Alta Alella,Orbus,2016,Alella,Syrah,4.07,100,24.95,4,3, 9.7470 , 12.3869 , 0.9943 
W7856-60126,Altanza,Club Rioja Reserva,2012,Rioja,Rioja Red,4.03,36,20.95,4,3, 10.1547 , 11.6627 , 0.9964 
W3264-11792,Altanza,Coleccion Roberto Amillo Amontillado,N.V.,Jerez Amontillado,Sherry,4.2,29,39.9,4,3, 8.9597 , 11.7530 , 0.9956 
W3087-67973,Altanza,Coleccion Roberto Amillo Palo Cortado,N.V.,Jerez-Xeres-Sherry,Sherry,4.25,27,47.7,4,3, 8.7895 , 11.1813 , 0.9964 
W9059-37386,Altanza,Lealtanza Coleccion de Artistas Espanoles Sorolla,2010,Rioja,Rioja Red,4.16,316,34.9,4,3, 9.1430 , 11.6759 , 0.9955 
W4294-64875,Alto Moncayo,Aquilon Garnacha,2011,Campo de Borja,Grenache,4.36,123,108.9,5,3, 7.3145 , 11.7545 , 0.9953 
W5604-38856,Alto Moncayo,Aquilon Garnacha,2014,Campo de Borja,Grenache,4.35,134,100,5,3, 7.3507 , 10.9449 , 0.9966 
W2930-77615,Alto Moncayo,Aquilon Garnacha,2015,Campo de Borja,Grenache,4.37,105,120.9,5,3, 7.2399 , 11.1645 , 0.9957 
W9756-79170,Alto Moncayo,Aquilon Garnacha,2016,Campo de Borja,Grenache,4.37,58,120.9,5,3, 7.2394 , 12.4503 , 0.9946 
W8970-10259,Alto Moncayo,Garnacha,2014,Campo de Borja,Grenache,4.18,1544,36.94,5,3, 9.1097 , 11.8883 , 0.9956 
W5083-18938,Alto Moncayo,Garnacha,2016,Campo de Borja,Grenache,4.15,1226,33.95,5,3, 9.1551 , 11.2911 , 0.9957 
W2112-19283,Alto Moncayo,Garnacha,2017,Campo de Borja,Grenache,4.23,1503,44.27,5,3, 8.9169 , 11.6283 , 0.9958 
W2318-31431,Alto Moncayo,Garnacha,2018,Campo de Borja,Grenache,4.19,915,38.95,5,3, 8.9735 , 11.2831 , 0.9967 
W4711-88476,Alto Moncayo,Veraton Garnacha,2014,Campo de Borja,Grenache,4.02,1627,19.94,5,3, 10.2791 , 10.2591 , 0.9978 
W2446-29965,Alto Moncayo,Veraton Garnacha,2018,Campo de Borja,Grenache,4.04,1343,21.6,5,3, 10.1340 , 12.1904 , 0.9948 
W6538-92380,Altos de Rioja,Altos R Pigeage,2016,Rioja,Rioja Red,4.12,63,29.95,4,3, 9.3276 , 11.3519 , 0.9968 
W8101-91137,Altos de Rioja,Altos R Pigeage Graciano,2016,Rioja,Rioja Red,4.16,25,35,4,3, 9.1349 , 11.3497 , 0.9964 
W1489-41617,Altos de Rioja,Altos R Pigeage Nacido en Barrica Blanco,2019,Rioja,Rioja White,4.12,27,29.9168517,NA,NA, 9.3301 , 11.4374 , 0.9960 
W9526-15885,Altos del Enebro,Finca La Herradura,2014,Ribera del Duero,Ribera Del Duero Red,4.31,49,68,5,3, 8.0001 , 11.4746 , 0.9961 
W3288-89287,Altos del Terral,Cuvee Julia Ribera del Duero,2011,Ribera del Duero,Ribera Del Duero Red,4.41,35,157,5,3, 7.0890 , 11.4545 , 0.9967 
W4511-56261,Alvaro Domecq,1730 Amontillado,N.V.,Jerez Amontillado,Sherry,4.16,29,34.65,4,3, 9.1456 , 10.5142 , 0.9971 
W7102-18810,Alvaro Domecq,1730 Pedro Ximenez,N.V.,Jerez Pedro Ximenes (PX),Sherry,4.2,234,39.35,4,3, 8.9706 , 10.6455 , 0.9972 
