SN,NAME,WINE,YR,REG,TP,RT,NUMR,PR,BD,ACD, RSG , AL , DN 
W5848-15925,Bodegas Ximenez-Spinola,Delicado Cosecha Pedro Ximenez,2019,Jerez Pedro Ximenes (PX),Pedro Ximenez,4.05,147,22.35,5,1, 10.1242 , 11.8060 , 0.9957 
W5765-45606,Bodegas Ximenez-Spinola,Finest Old Harvest Medium,N.V.,Jerez-Xeres-Sherry,Pedro Ximenez,4.02,1155,18.87,5,1, 10.5724 , 12.2675 , 0.9950 
W9924-46072,Bodegas Ximenez-Spinola,Varietal Fermentacion Lenta,2019,Jerez-Xeres-Sherry,Pedro Ximenez,4.12,61,,5,1, 9.3303 , 11.2736 , 0.9961 
W3759-56959,Bodegas Y Vinedos Alilian,Camino del Abuelo Vinas Viejas,2013,Ribera del Duero,Ribera Del Duero Red,4.5,36,243.8,5,3, 6.7265 , 11.7472 , 0.9951 
W4921-79132,Bodegas Yuste,Conde de Aldama Amontillado,N.V.,Jerez-Xeres-Sherry,Sherry,4.34,46,89.9,4,3, 7.4545 , 11.4331 , 0.9958 
W9042-51478,Bodegas Yzaguirre,Selection 1884 Vermouth Gran Reserva,N.V.,Cataluna,NA,4.09,57,27.11,NA,NA, 9.7151 , 11.1232 , 0.9960 
W1838-96259,Bohorquez,Reserva,2009,Ribera del Duero,Ribera Del Duero Red,4.04,442,21.65,5,3, 10.1320 , 11.0494 , 0.9958 
W1264-86852,Bordalas Garcia,Gueta-Lupia,2011,Priorato,Priorat Red,4.13,27,31.75,4,3, 9.1991 , 11.5617 , 0.9957 
W1179-10633,Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2017,Ribera del Duero,Ribera Del Duero Red,4.29,1093,55.75,5,3, 8.4441 , 11.3717 , 0.9969 
W9850-28764,Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2018,Ribera del Duero,Ribera Del Duero Red,4.09,1465,26.9,5,3, 9.7200 , 11.2284 , 0.9967 
W6251-56461,Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2019,Ribera del Duero,Ribera Del Duero Red,4.09,260,26.9,NA,NA, 9.7179 , 11.5577 , 0.9966 
W9841-86943,Bosque de Matasnos,Edicion Limitada,2015,Ribera del Duero,Ribera Del Duero Red,4.14,328,32.58118708,5,3, 9.1802 , 11.2756 , 0.9962 
W9151-23913,Bosque de Matasnos,Syrah de Matasnos,2019,Vino de Espana,Syrah,4.1,80,27.9,NA,NA, 9.5903 , 10.4743 , 0.9977 
W1932-36862,Breca,Brega Garnacha,2017,Calatayud,Grenache,4.1,317,27.9,5,3, 9.5917 , 11.0646 , 0.9968 
W6256-82437,Briego,Vendimia Seleccionada,2020,Ribera del Duero,Ribera Del Duero Red,3.94,27,7.9,5,3, 12.2807 , 10.9414 , 0.9965 
W4050-97150,Buil & Gine,Pleret,2012,Priorato,Priorat Red,4.29,37,55.5,4,3, 8.4458 , 10.2493 , 0.9970 
W5020-52706,Ca l'Apotecari,Triaca,2013,Priorato,Priorat Red,4.16,90,34.9,4,3, 9.1398 , 10.7236 , 0.9964 
W9019-25382,Cal Batllet - Celler Ripoll Sans,5 Partides Gratallops Vi de La Vila,2014,Priorato,Priorat Red,4.26,58,49.6,4,3, 8.6480 , 10.3579 , 0.9963 
W6713-78883,Cal Batllet - Celler Ripoll Sans,Gratallops Escanya-Vella,2018,Priorato,NA,4.09,40,27.1,NA,NA, 9.7153 , 10.5626 , 0.9975 
W5427-19929,Cal Pla,Planots Priorat,2010,Priorato,Priorat Red,4.33,112,87.02,4,3, 7.4651 , 10.7732 , 0.9962 
W7559-63114,Cal Pla,Planots Priorat,2013,Priorato,Priorat Red,4.29,46,57,4,3, 8.4306 , 11.0818 , 0.9960 
W8419-75806,Callejuela,La Casilla Amontillado,N.V.,Jerez-Xeres-Sherry,Sherry,4.23,122,43.95,4,3, 8.9192 , 10.0268 , 0.9977 
W5644-45580,Campillo,Finca Cuesta Clara Raro Reserva,2011,Rioja,Rioja Red,4.14,194,32,4,3, 9.1939 , 10.1278 , 0.9966 
W2177-29707,Campillo,Finca Cuesta Clara Raro Reserva,2016,Rioja,Rioja Red,4.2,29,39.5,4,3, 8.9680 , 11.7323 , 0.9949 
W8811-29543,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.1193 , 11.6474 , 0.9955 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1193 , 11.3576 , 0.9955 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1190 , 11.9773 , 0.9947 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1181 , 12.6185 , 0.9950 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1178 , 10.5612 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1174 , 10.7839 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1171 , 12.5759 , 0.9950 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1142 , 11.2997 , 0.9972 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1134 , 11.0696 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1132 , 10.5699 , 0.9972 
W7716-85741,,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1130 , 10.3907 , 0.9961 
W7716-85741,,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1128 , 10.5376 , 0.9969 
W7716-85741,,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1126 , 11.0415 , 0.9960 
W7716-85741,,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1125 , 10.9352 , 0.9975 
W7716-85741,,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1118 , 11.2347 , 0.9950 
W7716-85741,,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1111 , 11.5511 , 0.9971 
W7716-85741,,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1099 , 11.5387 , 0.9958 
W7716-85741,,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1097 , 11.9439 , 0.9959 
W7716-85741,Campillo,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1088 , 10.8245 , 0.9967 
W7716-85741,Campillo,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1086 , 10.7458 , 0.9964 
W7716-85741,Campillo,,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1085 , 10.8562 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1083 , 11.3726 , 0.9958 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1082 , 11.1557 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1078 , 12.1324 , 0.9945 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1077 , 10.5879 , 0.9972 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1076 , 11.1818 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1068 , 11.0375 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1065 , 11.2232 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1056 , 10.6131 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1052 , 12.0160 , 0.9951 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1044 , 11.5766 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1040 , 11.0651 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1038 , 10.3752 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1034 , 11.3683 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1021 , 10.8356 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.1010 , 10.8565 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.1007 , 10.1942 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0993 , 10.5910 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0993 , 10.9683 , 0.9961 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0970 , 10.5629 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0964 , 11.0359 , 0.9971 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0949 , 10.9267 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0944 , 11.0595 , 0.9957 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0936 , 10.8963 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0932 , 11.4777 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0910 , 11.3218 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0891 , 10.4763 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0886 , 10.5986 , 0.9974 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0886 , 11.2496 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0885 , 10.7572 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0885 , 10.2323 , 0.9975 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0872 , 11.0890 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0870 , 11.1177 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0864 , 11.5836 , 0.9958 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0861 , 11.5046 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0854 , 11.0904 , 0.9961 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0853 , 10.7810 , 0.9975 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0847 , 11.6481 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0831 , 10.5680 , 0.9971 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0822 , 10.3515 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0817 , 10.9303 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0807 , 10.4027 , 0.9982 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0804 , 11.6108 , 0.9953 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0804 , 11.7018 , 0.9952 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0800 , 11.8921 , 0.9947 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0774 , 11.0901 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0771 , 11.6052 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0768 , 11.5803 , 0.9953 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0766 , 9.6782 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0763 , 10.6383 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0758 , 11.1793 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0758 , 11.6907 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0751 , 11.5302 , 0.9947 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0734 , 11.2166 , 0.9971 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0734 , 12.1231 , 0.9940 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0729 , 10.8640 , 0.9970 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0725 , 9.8357 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0724 , 11.6387 , 0.9958 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0718 , 10.4099 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0717 , 11.5583 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0714 , 11.3642 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0707 , 10.2781 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0704 , 11.5358 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0697 , 11.2471 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0692 , 10.7599 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0680 , 11.1776 , 0.9956 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0671 , 11.4161 , 0.9963 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0667 , 11.4632 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0666 , 10.2460 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0665 , 11.1904 , 0.9956 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0664 , 10.5799 , 0.9977 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0664 , 10.6341 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0663 , 11.3235 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0663 , 10.8466 , 0.9975 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0663 , 11.1597 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0662 , 11.6931 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0646 , 11.7897 , 0.9952 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0632 , 10.7649 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0631 , 12.2972 , 0.9945 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0625 , 10.5386 , 0.9972 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0624 , 11.0678 , 0.9961 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0622 , 11.2576 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0620 , 11.0759 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0616 , 10.7419 , 0.9963 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0616 , 11.8475 , 0.9955 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0600 , 10.9999 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0586 , 10.9645 , 0.9969 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0585 , 11.2296 , 0.9955 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0579 , 10.5673 , 0.9974 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0578 , 10.8511 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0577 , 11.4499 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0568 , 11.2849 , 0.9963 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0565 , 11.4985 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0564 , 10.9480 , 0.9971 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0561 , 11.8234 , 0.9952 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0558 , 11.6195 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0553 , 11.5465 , 0.9954 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0546 , 11.7613 , 0.9951 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0544 , 11.2462 , 0.9952 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0529 , 11.2363 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0502 , 10.9505 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0499 , 10.5204 , 0.9968 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0495 , 10.6702 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0495 , 10.6524 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0492 , 11.6837 , 0.9956 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0490 , 11.8329 , 0.9955 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0475 , 11.4838 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0474 , 10.6719 , 0.9972 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0459 , 10.8320 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0436 , 10.9535 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0431 , 10.8411 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0428 , 11.7964 , 0.9957 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0426 , 10.7917 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0424 , 10.8827 , 0.9974 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0423 , 10.9096 , 0.9980 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0419 , 12.3105 , 0.9950 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0418 , 10.7479 , 0.9964 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0417 , 11.0764 , 0.9960 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0415 , 11.1693 , 0.9959 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0402 , 11.5478 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0401 , 11.0471 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0400 , 11.7923 , 0.9953 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0387 , 10.3076 , 0.9980 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0386 , 11.0269 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0386 , 10.9624 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0377 , 10.4777 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0365 , 12.2302 , 0.9951 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0365 , 10.4631 , 0.9972 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0363 , 11.2412 , 0.9962 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0362 , 12.1375 , 0.9939 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0362 , 10.6579 , 0.9966 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0352 , 11.4672 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0344 , 11.6203 , 0.9951 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0343 , 11.9064 , 0.9953 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0339 , 11.1800 , 0.9961 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0309 , 10.9553 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0303 , 10.6438 , 0.9967 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0298 , 10.3881 , 0.9973 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0290 , 11.1940 , 0.9965 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,NA,NA, 10.0285 , 11.4286 , 0.9957 
W7716-85741,Campillo,Gran Reserva Rioja,2012,Rioja,Rioja Red,4.05,410,22.99,4,3, 10.0278 , 10.6920 , 0.9970 
